,image_x1_path,image_x1_filename,image_x1_dim,image_x2_path,image_x2_filename,image_x2_dim,image_x4_path,image_x4_filename,image_x4_dim,image_x8_path,image_x8_filename,image_x8_dim,image_x16_path,image_x16_filename,image_x16_dim
1120,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1474982928259755972x1.png,images_rig_cam5_1474982928259755972x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1474982928259755972x2.png,images_rig_cam5_1474982928259755972x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1474982928259755972x4.png,images_rig_cam5_1474982928259755972x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1474982928259755972x8.png,images_rig_cam5_1474982928259755972x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1474982928259755972x16.png,images_rig_cam5_1474982928259755972x16.png,512x512
339,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1477843924632743523x1.png,images_rig_cam5_1477843924632743523x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1477843924632743523x2.png,images_rig_cam5_1477843924632743523x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1477843924632743523x4.png,images_rig_cam5_1477843924632743523x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1477843924632743523x8.png,images_rig_cam5_1477843924632743523x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1477843924632743523x16.png,images_rig_cam5_1477843924632743523x16.png,512x512
588,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam4_1474975195557234738x1.png,images_rig_cam4_1474975195557234738x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam4_1474975195557234738x2.png,images_rig_cam4_1474975195557234738x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam4_1474975195557234738x4.png,images_rig_cam4_1474975195557234738x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam4_1474975195557234738x8.png,images_rig_cam4_1474975195557234738x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam4_1474975195557234738x16.png,images_rig_cam4_1474975195557234738x16.png,512x512
480,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam4_1474975187594610738x1.png,images_rig_cam4_1474975187594610738x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam4_1474975187594610738x2.png,images_rig_cam4_1474975187594610738x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam4_1474975187594610738x4.png,images_rig_cam4_1474975187594610738x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam4_1474975187594610738x8.png,images_rig_cam4_1474975187594610738x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam4_1474975187594610738x16.png,images_rig_cam4_1474975187594610738x16.png,512x512
1201,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1474982934379179972x1.png,images_rig_cam5_1474982934379179972x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1474982934379179972x2.png,images_rig_cam5_1474982934379179972x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1474982934379179972x4.png,images_rig_cam5_1474982934379179972x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1474982934379179972x8.png,images_rig_cam5_1474982934379179972x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1474982934379179972x16.png,images_rig_cam5_1474982934379179972x16.png,512x512
1272,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1474982939613867972x1.png,images_rig_cam5_1474982939613867972x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1474982939613867972x2.png,images_rig_cam5_1474982939613867972x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1474982939613867972x4.png,images_rig_cam5_1474982939613867972x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1474982939613867972x8.png,images_rig_cam5_1474982939613867972x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1474982939613867972x16.png,images_rig_cam5_1474982939613867972x16.png,512x512
1489,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam4_1477833699108843598x1.png,images_rig_cam4_1477833699108843598x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam4_1477833699108843598x2.png,images_rig_cam4_1477833699108843598x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam4_1477833699108843598x4.png,images_rig_cam4_1477833699108843598x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam4_1477833699108843598x8.png,images_rig_cam4_1477833699108843598x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam4_1477833699108843598x16.png,images_rig_cam4_1477833699108843598x16.png,512x512
271,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1477843919619239523x1.png,images_rig_cam5_1477843919619239523x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1477843919619239523x2.png,images_rig_cam5_1477843919619239523x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1477843919619239523x4.png,images_rig_cam5_1477843919619239523x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1477843919619239523x8.png,images_rig_cam5_1477843919619239523x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1477843919619239523x16.png,images_rig_cam5_1477843919619239523x16.png,512x512
184,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam4_1477843930678439523x1.png,images_rig_cam4_1477843930678439523x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam4_1477843930678439523x2.png,images_rig_cam4_1477843930678439523x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam4_1477843930678439523x4.png,images_rig_cam4_1477843930678439523x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam4_1477843930678439523x8.png,images_rig_cam4_1477843930678439523x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam4_1477843930678439523x16.png,images_rig_cam4_1477843930678439523x16.png,512x512
874,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam4_1474982929070763972x1.png,images_rig_cam4_1474982929070763972x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam4_1474982929070763972x2.png,images_rig_cam4_1474982929070763972x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam4_1474982929070763972x4.png,images_rig_cam4_1474982929070763972x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam4_1474982929070763972x8.png,images_rig_cam4_1474982929070763972x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam4_1474982929070763972x16.png,images_rig_cam4_1474982929070763972x16.png,512x512
244,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1477843917628583523x1.png,images_rig_cam5_1477843917628583523x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1477843917628583523x2.png,images_rig_cam5_1477843917628583523x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1477843917628583523x4.png,images_rig_cam5_1477843917628583523x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1477843917628583523x8.png,images_rig_cam5_1477843917628583523x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1477843917628583523x16.png,images_rig_cam5_1477843917628583523x16.png,512x512
602,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam4_1474975196589426738x1.png,images_rig_cam4_1474975196589426738x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam4_1474975196589426738x2.png,images_rig_cam4_1474975196589426738x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam4_1474975196589426738x4.png,images_rig_cam4_1474975196589426738x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam4_1474975196589426738x8.png,images_rig_cam4_1474975196589426738x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam4_1474975196589426738x16.png,images_rig_cam4_1474975196589426738x16.png,512x512
1734,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1477833699477483598x1.png,images_rig_cam5_1477833699477483598x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1477833699477483598x2.png,images_rig_cam5_1477833699477483598x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1477833699477483598x4.png,images_rig_cam5_1477833699477483598x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1477833699477483598x8.png,images_rig_cam5_1477833699477483598x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1477833699477483598x16.png,images_rig_cam5_1477833699477483598x16.png,512x512
764,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam4_1474975208607090738x1.png,images_rig_cam4_1474975208607090738x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam4_1474975208607090738x2.png,images_rig_cam4_1474975208607090738x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam4_1474975208607090738x4.png,images_rig_cam4_1474975208607090738x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam4_1474975208607090738x8.png,images_rig_cam4_1474975208607090738x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam4_1474975208607090738x16.png,images_rig_cam4_1474975208607090738x16.png,512x512
439,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1477843932005543523x1.png,images_rig_cam5_1477843932005543523x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1477843932005543523x2.png,images_rig_cam5_1477843932005543523x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1477843932005543523x4.png,images_rig_cam5_1477843932005543523x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1477843932005543523x8.png,images_rig_cam5_1477843932005543523x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1477843932005543523x16.png,images_rig_cam5_1477843932005543523x16.png,512x512
1726,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1477833698887659598x1.png,images_rig_cam5_1477833698887659598x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1477833698887659598x2.png,images_rig_cam5_1477833698887659598x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1477833698887659598x4.png,images_rig_cam5_1477833698887659598x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1477833698887659598x8.png,images_rig_cam5_1477833698887659598x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1477833698887659598x16.png,images_rig_cam5_1477833698887659598x16.png,512x512
429,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1477843931268263523x1.png,images_rig_cam5_1477843931268263523x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1477843931268263523x2.png,images_rig_cam5_1477843931268263523x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1477843931268263523x4.png,images_rig_cam5_1477843931268263523x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1477843931268263523x8.png,images_rig_cam5_1477843931268263523x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1477843931268263523x16.png,images_rig_cam5_1477843931268263523x16.png,512x512
1159,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1474982931135147972x1.png,images_rig_cam5_1474982931135147972x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1474982931135147972x2.png,images_rig_cam5_1474982931135147972x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1474982931135147972x4.png,images_rig_cam5_1474982931135147972x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1474982931135147972x8.png,images_rig_cam5_1474982931135147972x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1474982931135147972x16.png,images_rig_cam5_1474982931135147972x16.png,512x512
415,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1477843930236071523x1.png,images_rig_cam5_1477843930236071523x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1477843930236071523x2.png,images_rig_cam5_1477843930236071523x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1477843930236071523x4.png,images_rig_cam5_1477843930236071523x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1477843930236071523x8.png,images_rig_cam5_1477843930236071523x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1477843930236071523x16.png,images_rig_cam5_1477843930236071523x16.png,512x512
273,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1477843919766695523x1.png,images_rig_cam5_1477843919766695523x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1477843919766695523x2.png,images_rig_cam5_1477843919766695523x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1477843919766695523x4.png,images_rig_cam5_1477843919766695523x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1477843919766695523x8.png,images_rig_cam5_1477843919766695523x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1477843919766695523x16.png,images_rig_cam5_1477843919766695523x16.png,512x512
1701,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1477833697044459598x1.png,images_rig_cam5_1477833697044459598x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1477833697044459598x2.png,images_rig_cam5_1477833697044459598x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1477833697044459598x4.png,images_rig_cam5_1477833697044459598x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1477833697044459598x8.png,images_rig_cam5_1477833697044459598x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1477833697044459598x16.png,images_rig_cam5_1477833697044459598x16.png,512x512
1625,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1477833691441131598x1.png,images_rig_cam5_1477833691441131598x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1477833691441131598x2.png,images_rig_cam5_1477833691441131598x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1477833691441131598x4.png,images_rig_cam5_1477833691441131598x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1477833691441131598x8.png,images_rig_cam5_1477833691441131598x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1477833691441131598x16.png,images_rig_cam5_1477833691441131598x16.png,512x512
1407,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam4_1477833693063147598x1.png,images_rig_cam4_1477833693063147598x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam4_1477833693063147598x2.png,images_rig_cam4_1477833693063147598x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam4_1477833693063147598x4.png,images_rig_cam4_1477833693063147598x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam4_1477833693063147598x8.png,images_rig_cam4_1477833693063147598x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam4_1477833693063147598x16.png,images_rig_cam4_1477833693063147598x16.png,512x512
250,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1477843918070951523x1.png,images_rig_cam5_1477843918070951523x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1477843918070951523x2.png,images_rig_cam5_1477843918070951523x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1477843918070951523x4.png,images_rig_cam5_1477843918070951523x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1477843918070951523x8.png,images_rig_cam5_1477843918070951523x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1477843918070951523x16.png,images_rig_cam5_1477843918070951523x16.png,512x512
413,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1477843930088615523x1.png,images_rig_cam5_1477843930088615523x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1477843930088615523x2.png,images_rig_cam5_1477843930088615523x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1477843930088615523x4.png,images_rig_cam5_1477843930088615523x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1477843930088615523x8.png,images_rig_cam5_1477843930088615523x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1477843930088615523x16.png,images_rig_cam5_1477843930088615523x16.png,512x512
1078,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1474982925163179972x1.png,images_rig_cam5_1474982925163179972x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1474982925163179972x2.png,images_rig_cam5_1474982925163179972x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1474982925163179972x4.png,images_rig_cam5_1474982925163179972x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1474982925163179972x8.png,images_rig_cam5_1474982925163179972x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1474982925163179972x16.png,images_rig_cam5_1474982925163179972x16.png,512x512
1261,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1474982938802859972x1.png,images_rig_cam5_1474982938802859972x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1474982938802859972x2.png,images_rig_cam5_1474982938802859972x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1474982938802859972x4.png,images_rig_cam5_1474982938802859972x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1474982938802859972x8.png,images_rig_cam5_1474982938802859972x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1474982938802859972x16.png,images_rig_cam5_1474982938802859972x16.png,512x512
1915,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam4_1477838508403313559x1.png,images_rig_cam4_1477838508403313559x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam4_1477838508403313559x2.png,images_rig_cam4_1477838508403313559x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam4_1477838508403313559x4.png,images_rig_cam4_1477838508403313559x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam4_1477838508403313559x8.png,images_rig_cam4_1477838508403313559x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam4_1477838508403313559x16.png,images_rig_cam4_1477838508403313559x16.png,512x512
1885,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam4_1477838506191473559x1.png,images_rig_cam4_1477838506191473559x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam4_1477838506191473559x2.png,images_rig_cam4_1477838506191473559x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam4_1477838506191473559x4.png,images_rig_cam4_1477838506191473559x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam4_1477838506191473559x8.png,images_rig_cam4_1477838506191473559x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam4_1477838506191473559x16.png,images_rig_cam4_1477838506191473559x16.png,512x512
